Species,DBH,CR1,CR2,CH,CB,Crown Area,Crown Depth,Crown Volume,Date
Acsa,1.9,1,1.3,3,1.6,4.084067,1.4,5.7176938,6/7/21
Acsa,6.6,3.3,3,10.9,2,31.101741,8.9,276.8054949,6/7/21
Acsa,9,3,3.6,11.2,2,33.929172,9.2,312.1483824,6/7/21
Acsa,4,2.6,1.5,2.1,1.4,12.252201,0.7,8.5765407,6/7/21
Potr,3.5,0.8,0.4,2.1,1.3,1.0053088,0.8,0.80424704,6/7/21
Potr,8,1.5,1.2,13.6,3.6,5.654862,10,56.54862,6/7/21
Potr,5,1.6,0.8,9.2,3.8,4.0212352,5.4,21.71467008,6/7/21
Potr,6.9,1.2,1.5,10.2,3.9,5.654862,6.3,35.6256306,6/7/21
Potr,6.5,0.9,1,9.7,2.6,2.827431,7.1,20.0747601,6/7/21
Tiam,9.5,3.2,4,6.8,2.8,40.212352,4,160.849408,6/7/21
Tiam,9.3,3.4,3.2,11.4,3.7,34.1804992,7.7,263.1898438,6/7/21
Tiam,10.1,3.6,2.7,12,8.6,30.5362548,3.4,103.8232663,6/7/21
Tiam,3.8,1.5,1.1,3.6,2.2,5.1836235,1.4,7.2570729,6/7/21
Tiam,2.5,1.1,1.3,4.6,2.4,4.4924737,2.2,9.88344214,6/7/21
Frni,9.3,1.1,0.9,9.1,2.6,3.1101741,6.5,20.21613165,6/7/21
Frni,9.7,4.1,2.4,15.9,5,30.9132456,10.9,336.954377,6/7/21
Frni,8.8,2.1,1.7,9.8,4.4,11.2154763,5.4,60.56357202,6/7/21
Frni,14.1,3.2,2.9,14.4,10.5,29.1539552,3.9,113.7004253,6/7/21
Frni,10.2,1.1,1.5,13.7,6,5.1836235,7.7,39.91390095,6/7/21
Bepa,10.7,2.6,2.1,8.6,5.5,17.1530814,3.1,53.17455234,6/7/21
Bepa,13.6,3.8,2.2,14.8,8,26.2636924,6.8,178.5931083,6/7/21
Bepa,13.9,3.2,4,12.2,8.6,40.212352,3.6,144.7644672,6/7/21
Bepa,10.5,2.3,3.1,8.9,5,22.3995367,3.9,87.35819313,6/7/21
Bepa,7,2.6,3.1,14,7,25.3212154,7,177.2485078,6/7/21
Potr,11.3,1.3,1,15.4,4.3,4.084067,11.1,45.3331437,6/8/21
Potr,8.3,0.9,1.3,13,3.4,3.6756603,9.6,35.28633888,6/8/21
Acsa,1.3,0.8,1,2.5,1.1,2.513272,1.4,3.5185808,6/8/21
Acsa,3.6,2,2.1,5.6,1.4,13.194678,4.2,55.4176476,6/8/21
Potr,2.1,0.5,0.6,5.4,3.3,0.942477,2.1,1.9792017,6/8/21
Acsa,3.3,0.6,1.1,4.9,1.9,2.0734494,3,6.2203482,6/8/21
Frni,6.7,1.5,1.3,7.1,2.6,6.1261005,4.5,27.56745225,6/8/21
Frni,11.6,1.3,1.4,5.4,2.7,5.7176938,2.7,15.43777326,6/8/21
Bepa,10.3,1.6,1.9,7.7,2.4,9.5504336,5.3,50.61729808,6/8/21
Bepa,10.7,1.4,1.6,11.2,3.7,7.0371616,7.5,52.778712,6/8/21
Bepa,6.2,0.7,1.8,6.2,2.5,3.9584034,3.7,14.64609258,6/8/21
Potr,3.6,1.1,1,4.5,2,3.455749,2.5,8.6393725,6/8/21
Frni,2.4,1.7,1.3,7.7,3.4,6.9429139,4.3,29.85452977,6/8/21
Frni,9.1,1.7,2.2,9,1.8,11.7495466,7.2,84.59673552,6/8/21
Potr,7.7,2.1,2.6,10.8,4.9,17.1530814,5.9,101.2031803,6/8/21
Frni,7.3,2,1.1,8.7,1.9,6.911498,6.8,46.9981864,6/8/21
Acsa,1.6,1.3,0.8,3.5,1.6,3.2672536,1.9,6.20778184,6/8/21
Potr,5.3,1.8,1.7,6.3,1.7,9.6132654,4.6,44.22102084,6/8/21
Frni,5.7,0.8,1.4,6.1,4.4,3.5185808,1.7,5.98158736,6/8/21
Frni,15.1,2.5,1.9,11.3,5.8,14.9225525,5.5,82.07403875,6/8/21
Tiam,5.8,1.1,0.9,5.1,1.3,3.1101741,3.8,11.81866158,6/8/21
